segment,n_users,selected_users,selected_rate,avg_predicted_tau_profit,avg_true_tau_profit,coupon_cost,incremental_profit,roi
all,175000,28354,0.16202285714285714,0.02277624326844764,0.022113753804568734,24999.9872342601,5088.238847179532,0.2035296578154482
coupon_cost_low,57750,694,0.012017316017316017,-0.04663378790968064,-0.05138752273175581,467.31227948521666,104.24102627624595,0.22306502707584766
coupon_cost_mid,59500,4755,0.07991596638655463,0.0157804034232702,0.018967662966683604,3669.630019486959,825.4635646120184,0.22494462935732804
coupon_cost_high,57750,22905,0.3966233766233766,0.09939410943857693,0.09885645726477432,20863.044935287926,4158.534256291268,0.1993253750442482
propensity_low,57750,9469,0.16396536796536795,0.027080050766600357,0.01921101978668836,8534.810687638515,707.204388174917,0.08286116869577483
propensity_mid,59500,9555,0.16058823529411764,0.022787214433529154,0.032660827161773764,8430.927187361702,1580.9141118065845,0.18751367158957774
propensity_high,57750,9330,0.16155844155844157,0.01846113214566548,0.014149806181692714,8034.249359259884,2800.1203471980307,0.3485229574024546
f0_low,87500,16281,0.18606857142857142,0.03448288655101431,0.02941057170866059,14511.078780296168,1743.0500683123587,0.12011857248540025
f0_high,87500,12073,0.13797714285714285,0.011069599985880975,0.014816935900476383,10488.908453963933,3345.188778867174,0.31892630139249345
f6_low,87500,1720,0.019657142857142856,-0.03008060573846701,-0.03296966923956733,1330.4123979989838,209.72896535147984,0.1576420707345513
f6_high,87500,26634,0.30438857142857145,0.07563309227536229,0.07719717684870411,23669.57483626112,4878.509881828053,0.20610889361452805
f10_low,87500,13939,0.15930285714285713,0.018337588831254466,0.019259934593487554,11893.488788786959,2144.1461402086484,0.18027898947784976
f10_high,87500,14415,0.16474285714285714,0.02721489770564081,0.024967573015650092,13106.498445473142,2944.092706970884,0.22462847107632666
